id,lat_lng,latlng,geocode_data,city,country
1997,"{u'lat': 39.768403, u'lng': -86.158068}","39.768403,-86.158068",,,
1998,"{u'lat': 47.712481, u'lng': -122.158285}","47.712481,-122.158285",,,
2005,"{u'lat': 44.05918700000001, u'lng': -79.46125599999999}","44.059187,-79.461256",,,
2007,"{u'lat': 34.0838307, u'lng': -84.2946273}","34.0838307,-84.2946273",,,
2017,"{u'lat': 37.8271784, u'lng': -122.2913078}","37.8271784,-122.2913078",,,
2024,"{u'lat': 40.7643843, u'lng': -73.99355489999999}","40.7643843,-73.9935549",,,
2025,"{u'lat': 40.7127753, u'lng': -74.0059728}","40.7127753,-74.0059728",,,
2026,"{u'lat': 37.3890924, u'lng': -5.9844589}","37.3890924,-5.9844589",,,
2030,"{u'lat': 34.4208305, u'lng': -119.6981901}","34.4208305,-119.6981901",,,
2031,{},,,,
2033,"{u'lat': 40.9256538, u'lng': -73.1409429}","40.9256538,-73.1409429",,,
2041,"{u'lat': 40.7643843, u'lng': -73.99355489999999}","40.7643843,-73.9935549",,,
2043,"{u'lat': 41.8177639, u'lng': -87.726916}","41.8177639,-87.726916",,,
2046,"{u'lat': 41.8177639, u'lng': -87.726916}","41.8177639,-87.726916",,,
2048,"{u'lat': 40.7643843, u'lng': -73.99355489999999}","40.7643843,-73.9935549",,,
2053,"{u'lat': 39.7392358, u'lng': -104.990251}","39.7392358,-104.990251",,,
2060,"{u'lat': 40.7643843, u'lng': -73.99355489999999}","40.7643843,-73.9935549",,,
2062,"{u'lat': 42.3473129, u'lng': -71.0782651}","42.3473129,-71.0782651",,,
2069,"{u'lat': 51.5073509, u'lng': -0.1277583}","51.5073509,-0.1277583",,,
2070,"{u'lat': 37.09024, u'lng': -95.712891}","37.09024,-95.712891",,,
2071,"{u'lat': 37.09024, u'lng': -95.712891}","37.09024,-95.712891",,,
2072,"{u'lat': 39.7240493, u'lng': -105.0017028}","39.7240493,-105.0017028",,,
2073,"{u'lat': 37.8271784, u'lng': -122.2913078}","37.8271784,-122.2913078",,,
2075,"{u'lat': 52.419278, u'lng': 13.285561}","52.419278,13.285561",,,
2084,"{u'lat': 37.8715926, u'lng': -122.272747}","37.8715926,-122.272747",,,
2086,"{u'lat': 33.665242, u'lng': -117.7490656}","33.665242,-117.7490656",,,
2087,"{u'lat': 39.9852617, u'lng': -104.8205283}","39.9852617,-104.8205283",,,
2089,"{u'lat': 33.454856, u'lng': -82.06830599999999}","33.454856,-82.068306",,,
2096,"{u'lat': 42.3473129, u'lng': -71.0782651}","42.3473129,-71.0782651",,,
2100,"{u'lat': 37.8271784, u'lng': -122.2913078}","37.8271784,-122.2913078",,,
2106,"{u'lat': 29.7604267, u'lng': -95.3698028}","29.7604267,-95.3698028",,,
2108,"{u'lat': 40.7643843, u'lng': -73.99355489999999}","40.7643843,-73.9935549",,,
2139,"{u'lat': 40.1019523, u'lng': -88.2271615}","40.1019523,-88.2271615",,,
2147,"{u'lat': 42.3329495, u'lng': -83.0423977}","42.3329495,-83.0423977",,,
2158,"{u'lat': 37.8271784, u'lng': -122.2913078}","37.8271784,-122.2913078",,,
2163,"{u'lat': 39.7392358, u'lng': -104.990251}","39.7392358,-104.990251",,,
2164,"{u'lat': 1.352083, u'lng': 103.819836}","1.352083,103.819836",,,
2169,"{u'lat': 39.3213629, u'lng': -76.6280361}","39.3213629,-76.6280361",,,
2170,"{u'lat': 39.8441578, u'lng': -86.12018259999999}","39.8441578,-86.1201826",,,
2175,"{u'lat': 37.09024, u'lng': -95.712891}","37.09024,-95.712891",,,
2176,"{u'lat': 42.5847425, u'lng': -87.82118539999999}","42.5847425,-87.8211854",,,
2180,"{u'lat': 39.9611755, u'lng': -82.99879419999999}","39.9611755,-82.9987942",,,
2185,"{u'lat': 55.953252, u'lng': -3.188267}","55.953252,-3.188267",,,
2188,"{u'lat': 42.0405852, u'lng': -87.78256209999999}","42.0405852,-87.7825621",,,
2195,"{u'lat': 28.4135081, u'lng': -81.3728112}","28.4135081,-81.3728112",,,
2209,"{u'lat': 40.7643843, u'lng': -73.99355489999999}","40.7643843,-73.9935549",,,
2211,"{u'lat': 37.3382082, u'lng': -121.8863286}","37.3382082,-121.8863286",,,
2215,"{u'lat': 37.8271784, u'lng': -122.2913078}","37.8271784,-122.2913078",,,
2217,"{u'lat': 37.8271784, u'lng': -122.2913078}","37.8271784,-122.2913078",,,
2218,"{u'lat': 39.9491834, u'lng': -75.1647772}","39.9491834,-75.1647772",,,
2220,"{u'lat': -3.3194374, u'lng': 103.914399}","-3.3194374,103.914399",,,
2224,"{u'lat': 41.8781136, u'lng': -87.6297982}","41.8781136,-87.6297982",,,
2229,"{u'lat': 35.8991678, u'lng': -78.86364019999999}","35.8991678,-78.8636402",,,
2230,"{u'lat': 34.0522342, u'lng': -118.2436849}","34.0522342,-118.2436849",,,
2231,"{u'lat': 31.046051, u'lng': 34.851612}","31.046051,34.851612",,,
2239,"{u'lat': 33.6161462, u'lng': -88.44147009999999}","33.6161462,-88.4414701",,,
2246,"{u'lat': 39.92835300000001, u'lng': 116.416357}","39.928353,116.416357",,,
2248,"{u'lat': 32.8514845, u'lng': -116.9385756}","32.8514845,-116.9385756",,,
2250,"{u'lat': 39.7392358, u'lng': -104.990251}","39.7392358,-104.990251",,,
2258,"{u'lat': 35.0853336, u'lng': -106.6055534}","35.0853336,-106.6055534",,,
2260,"{u'lat': 17.6868159, u'lng': 83.2184815}","17.6868159,83.2184815",,,
2264,"{u'lat': 42.4803384, u'lng': -92.3167366}","42.4803384,-92.3167366",,,
2273,"{u'lat': 40.7643843, u'lng': -73.99355489999999}","40.7643843,-73.9935549",,,
2275,"{u'lat': 13.0826802, u'lng': 80.2707184}","13.0826802,80.2707184",,,
2280,"{u'lat': -26.2041028, u'lng': 28.0473051}","-26.2041028,28.0473051",,,
2281,"{u'lat': -33.9248685, u'lng': 18.4240553}","-33.9248685,18.4240553",,,
2283,"{u'lat': 51.5073509, u'lng': -0.1277583}","51.5073509,-0.1277583",,,
2285,"{u'lat': 37.8271784, u'lng': -122.2913078}","37.8271784,-122.2913078",,,
2291,"{u'lat': 33.916475, u'lng': -117.9002918}","33.916475,-117.9002918",,,
2294,"{u'lat': 47.6062095, u'lng': -122.3320708}","47.6062095,-122.3320708",,,
2298,"{u'lat': 40.7674987, u'lng': -73.833079}","40.7674987,-73.833079",,,
2310,"{u'lat': 41.7791355, u'lng': -72.69889719999999}","41.7791355,-72.6988972",,,
2320,"{u'lat': 39.7379406, u'lng': -84.18635069999999}","39.7379406,-84.1863507",,,
2324,"{u'lat': 42.3473129, u'lng': -71.0782651}","42.3473129,-71.0782651",,,
2331,"{u'lat': 3.0738379, u'lng': 101.5183469}","3.0738379,101.5183469",,,
2335,"{u'lat': 42.3329495, u'lng': -83.0423977}","42.3329495,-83.0423977",,,
2336,{},,,,
2338,"{u'lat': 37.5419551, u'lng': -77.4444181}","37.5419551,-77.4444181",,,
2339,"{u'lat': 41.0954495, u'lng': -81.5887577}","41.0954495,-81.5887577",,,
2340,"{u'lat': 40.7127753, u'lng': -74.0059728}","40.7127753,-74.0059728",,,
2341,"{u'lat': 40.7127753, u'lng': -74.0059728}","40.7127753,-74.0059728",,,
2342,"{u'lat': 39.7392358, u'lng': -104.990251}","39.7392358,-104.990251",,,
2343,"{u'lat': 41.8177639, u'lng': -87.726916}","41.8177639,-87.726916",,,
2344,"{u'lat': 42.3473129, u'lng': -71.0782651}","42.3473129,-71.0782651",,,
2345,"{u'lat': 30.442344, u'lng': -97.769885}","30.442344,-97.769885",,,
2346,"{u'lat': 33.8847361, u'lng': -118.4109089}","33.8847361,-118.4109089",,,
2347,"{u'lat': 37.3541079, u'lng': -121.9552356}","37.3541079,-121.9552356",,,
2348,"{u'lat': 33.7489954, u'lng': -84.3879824}","33.7489954,-84.3879824",,,
2349,"{u'lat': 30.274084, u'lng': 120.15507}","30.274084,120.15507",,,
2350,"{u'lat': 37.1298517, u'lng': -80.4089389}","37.1298517,-80.4089389",,,
2351,"{u'lat': 34.731295, u'lng': -86.5907441}","34.731295,-86.5907441",,,
2352,"{u'lat': 47.712481, u'lng': -122.158285}","47.712481,-122.158285",,,
2353,"{u'lat': 32.0260135, u'lng': 34.7477005}","32.0260135,34.7477005",,,
2354,"{u'lat': 42.0467928, u'lng': -93.8753983}","42.0467928,-93.8753983",,,
2355,"{u'lat': 29.74129, u'lng': -95.440033}","29.74129,-95.440033",,,
2356,"{u'lat': 32.2371465, u'lng': -80.8603868}","32.2371465,-80.8603868",,,
2357,"{u'lat': 33.5206608, u'lng': -86.80248999999999}","33.5206608,-86.80249",,,
2358,"{u'lat': 31.046051, u'lng': 34.851612}","31.046051,34.851612",,,
2359,"{u'lat': 33.482444, u'lng': -112.077613}","33.482444,-112.077613",,,
2360,"{u'lat': 32.715738, u'lng': -117.1610838}","32.715738,-117.1610838",,,
2361,"{u'lat': 42.3473129, u'lng': -71.0782651}","42.3473129,-71.0782651",,,
2362,"{u'lat': 34.0522342, u'lng': -118.2436849}","34.0522342,-118.2436849",,,
2363,"{u'lat': 38.9086635, u'lng': -77.0433177}","38.9086635,-77.0433177",,,
2364,"{u'lat': 37.8271784, u'lng': -122.2913078}","37.8271784,-122.2913078",,,
2365,"{u'lat': 42.6875323, u'lng': -83.2341028}","42.6875323,-83.2341028",,,
2366,"{u'lat': 36.9685219, u'lng': -86.4808043}","36.9685219,-86.4808043",,,
2367,"{u'lat': 32.7515791, u'lng': -96.6295999}","32.7515791,-96.6295999",,,
2368,"{u'lat': 32.8323225, u'lng': -79.82842579999999}","32.8323225,-79.8284258",,,
2369,"{u'lat': 40.7245157, u'lng': -73.9978552}","40.7245157,-73.9978552",,,
2370,"{u'lat': 40.7127753, u'lng': -74.0059728}","40.7127753,-74.0059728",,,
2371,"{u'lat': 36.1641683, u'lng': -86.7814932}","36.1641683,-86.7814932",,,
2372,"{u'lat': 42.3473129, u'lng': -71.0782651}","42.3473129,-71.0782651",,,
2373,"{u'lat': 40.7127753, u'lng': -74.0059728}","40.7127753,-74.0059728",,,
2374,"{u'lat': 44.948999, u'lng': -93.0914962}","44.948999,-93.0914962",,,
2375,"{u'lat': 33.0198431, u'lng': -96.6988856}","33.0198431,-96.6988856",,,
2376,"{u'lat': 38.9086635, u'lng': -77.0433177}","38.9086635,-77.0433177",,,
2377,"{u'lat': 38.9086635, u'lng': -77.0433177}","38.9086635,-77.0433177",,,
2378,"{u'lat': 39.921469, u'lng': 116.443107}","39.921469,116.443107",,,
2379,"{u'lat': 38.9086635, u'lng': -77.0433177}","38.9086635,-77.0433177",,,
2380,"{u'lat': 28.1223615, u'lng': -80.64408139999999}","28.1223615,-80.6440814",,,
2381,"{u'lat': 44.0121221, u'lng': -92.4801989}","44.0121221,-92.4801989",,,
2382,"{u'lat': 41.8177639, u'lng': -87.726916}","41.8177639,-87.726916",,,
2383,"{u'lat': 34.0522342, u'lng': -118.2436849}","34.0522342,-118.2436849",,,
2384,"{u'lat': 27.773288, u'lng': -82.634306}","27.773288,-82.634306",,,
2385,"{u'lat': 36.0959715, u'lng': -79.2669619}","36.0959715,-79.2669619",,,
2386,"{u'lat': 39.7240493, u'lng': -105.0017028}","39.7240493,-105.0017028",,,
2387,"{u'lat': 47.712481, u'lng': -122.158285}","47.712481,-122.158285",,,
2388,"{u'lat': 38.9086635, u'lng': -77.0433177}","38.9086635,-77.0433177",,,
2389,"{u'lat': 39.2194678, u'lng': -104.5371508}","39.2194678,-104.5371508",,,
2390,"{u'lat': 31.5943567, u'lng': -83.2504328}","31.5943567,-83.2504328",,,
2391,"{u'lat': 42.3473129, u'lng': -71.0782651}","42.3473129,-71.0782651",,,
2392,"{u'lat': 32.7515791, u'lng': -96.6295999}","32.7515791,-96.6295999",,,
2393,"{u'lat': 35.8991678, u'lng': -78.86364019999999}","35.8991678,-78.8636402",,,
2394,"{u'lat': 39.7240493, u'lng': -105.0017028}","39.7240493,-105.0017028",,,
2395,"{u'lat': 36.6149217, u'lng': -121.822098}","36.6149217,-121.822098",,,
2396,"{u'lat': 36.0956918, u'lng': -79.43779909999999}","36.0956918,-79.4377991",,,
2397,"{u'lat': 39.7172152, u'lng': -74.9697707}","39.7172152,-74.9697707",,,
2398,"{u'lat': 38.8768018, u'lng': -104.8123491}","38.8768018,-104.8123491",,,
2399,"{u'lat': 27.773288, u'lng': -82.634306}","27.773288,-82.634306",,,
2400,"{u'lat': 47.6101497, u'lng': -122.2015159}","47.6101497,-122.2015159",,,
2401,"{u'lat': 37.3382082, u'lng': -121.8863286}","37.3382082,-121.8863286",,,
